nse_symbol,yahoo_symbol,stock_name,industry
NSE:360ONE-EQ,360ONE.NS,360 ONE WAM Ltd.,Financial Services
NSE:3MINDIA-EQ,3MINDIA.NS,3M India Ltd.,Diversified
NSE:ABB-EQ,ABB.NS,ABB India Ltd.,Capital Goods
NSE:ACC-EQ,ACC.NS,ACC Ltd.,Construction Materials
NSE:ACMESOLAR-EQ,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power
NSE:AIAENG-EQ,AIAENG.NS,AIA Engineering Ltd.,Capital Goods
NSE:APLAPOLLO-EQ,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
NSE:AUBANK-EQ,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
NSE:AWL-EQ,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods
NSE:AADHARHFC-EQ,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services
NSE:AARTIIND-EQ,AARTIIND.NS,Aarti Industries Ltd.,Chemicals
NSE:AAVAS-EQ,AAVAS.NS,Aavas Financiers Ltd.,Financial Services
NSE:ABBOTINDIA-EQ,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare
NSE:ACE-EQ,ACE.NS,Action Construction Equipment Ltd.,Capital Goods
NSE:ACUTAAS-EQ,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare
NSE:ADANIENSOL-EQ,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power
NSE:ADANIENT-EQ,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining
NSE:ADANIGREEN-EQ,ADANIGREEN.NS,Adani Green Energy Ltd.,Power
NSE:ADANIPORTS-EQ,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services
NSE:ADANIPOWER-EQ,ADANIPOWER.NS,Adani Power Ltd.,Power
NSE:ATGL-EQ,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
NSE:ABCAPITAL-EQ,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
NSE:ABFRL-EQ,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services
NSE:ABLBL-EQ,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
NSE:ABREL-EQ,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty
NSE:ABSLAMC-EQ,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services
NSE:CPPLUS-EQ,CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods
NSE:AEGISLOG-EQ,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
NSE:AEGISVOPAK-EQ,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
NSE:AFCONS-EQ,AFCONS.NS,Afcons Infrastructure Ltd.,Construction
NSE:AFFLE-EQ,AFFLE.NS,Affle 3i Ltd.,Information Technology
NSE:AJANTPHARM-EQ,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare
NSE:ALKEM-EQ,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
NSE:ABDL-EQ,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods
NSE:ARE&M-EQ,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
NSE:AMBER-EQ,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables
NSE:AMBUJACEM-EQ,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials
NSE:ANANDRATHI-EQ,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services
NSE:ANANTRAJ-EQ,ANANTRAJ.NS,Anant Raj Ltd.,Realty
NSE:ANGELONE-EQ,ANGELONE.NS,Angel One Ltd.,Financial Services
NSE:ANTHEM-EQ,ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare
NSE:ANURAS-EQ,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals
NSE:APARINDS-EQ,APARINDS.NS,Apar Industries Ltd.,Capital Goods
NSE:APOLLOHOSP-EQ,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare
NSE:APOLLOTYRE-EQ,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components
NSE:APTUS-EQ,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services
NSE:ASAHIINDIA-EQ,ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components
NSE:ASHOKLEY-EQ,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
NSE:ASIANPAINT-EQ,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables
NSE:ASTERDM-EQ,ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare
NSE:ASTRAL-EQ,ASTRAL.NS,Astral Ltd.,Capital Goods
NSE:ATHERENERG-EQ,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components
NSE:ATUL-EQ,ATUL.NS,Atul Ltd.,Chemicals
NSE:AUROPHARMA-EQ,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
NSE:AIIL-EQ,AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services
NSE:DMART-EQ,DMART.NS,Avenue Supermarts Ltd.,Consumer Services
NSE:AXISBANK-EQ,AXISBANK.NS,Axis Bank Ltd.,Financial Services
NSE:BEML-EQ,BEML.NS,BEML Ltd.,Capital Goods
NSE:BLS-EQ,BLS.NS,BLS International Services Ltd.,Consumer Services
NSE:BSE-EQ,BSE.NS,BSE Ltd.,Financial Services
NSE:BAJAJ-AUTO-EQ,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components
NSE:BAJFINANCE-EQ,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services
NSE:BAJAJFINSV-EQ,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services
NSE:BAJAJHLDNG-EQ,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services
NSE:BAJAJHFL-EQ,BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services
NSE:BALKRISIND-EQ,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components
NSE:BALRAMCHIN-EQ,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
NSE:BANDHANBNK-EQ,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services
NSE:BANKBARODA-EQ,BANKBARODA.NS,Bank of Baroda,Financial Services
NSE:BANKINDIA-EQ,BANKINDIA.NS,Bank of India,Financial Services
NSE:MAHABANK-EQ,MAHABANK.NS,Bank of Maharashtra,Financial Services
NSE:BATAINDIA-EQ,BATAINDIA.NS,Bata India Ltd.,Consumer Durables
NSE:BAYERCROP-EQ,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals
NSE:BELRISE-EQ,BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components
NSE:BERGEPAINT-EQ,BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables
NSE:BDL-EQ,BDL.NS,Bharat Dynamics Ltd.,Capital Goods
NSE:BEL-EQ,BEL.NS,Bharat Electronics Ltd.,Capital Goods
NSE:BHARATFORG-EQ,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
NSE:BHEL-EQ,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
NSE:BPCL-EQ,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
NSE:BHARTIARTL-EQ,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication
NSE:BHARTIHEXA-EQ,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
NSE:BIKAJI-EQ,BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
NSE:GROWW-EQ,GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services
NSE:BIOCON-EQ,BIOCON.NS,Biocon Ltd.,Healthcare
NSE:BSOFT-EQ,BSOFT.NS,Birlasoft Ltd.,Information Technology
NSE:BLUEDART-EQ,BLUEDART.NS,Blue Dart Express Ltd.,Services
NSE:BLUEJET-EQ,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare
NSE:BLUESTARCO-EQ,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
NSE:BBTC-EQ,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
NSE:BOSCHLTD-EQ,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components
NSE:FIRSTCRY-EQ,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services
NSE:BRIGADE-EQ,BRIGADE.NS,Brigade Enterprises Ltd.,Realty
NSE:BRITANNIA-EQ,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods
NSE:MAPMYINDIA-EQ,MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology
NSE:CCL-EQ,CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods
